,CA,OR,WA,NV,ID,MT,WY,UT,CO,AZ,NM
0,6.283381492053366,1.185782202114603,2.1425161306456935,0.8164324873625535,0.604771825911607,0.5029957515430961,0.25635550728799006,1.5970428874861526,2.4859187697698277,0.9147406866579034,0.7096742590574951
1,6.583963507333349,1.1902702704302235,2.1260864289334336,0.8575322250977029,0.6184687226955936,0.5125211964054782,0.256015404535254,1.5846572010134925,2.475435999240896,0.9856133468250146,0.7299585272815363
2,6.757265666105619,1.172984837515999,2.100677971777394,0.8936539184416443,0.6210307241082166,0.5243479843115957,0.25894393942515753,1.6065924594196983,2.509811286383664,1.026481911420961,0.7500469869569791
3,6.987930509895768,1.1526329978261123,2.0798004386460676,0.9334033717296563,0.6244273424875634,0.5403959280033717,0.26244104020010034,1.6357899023129931,2.547946963814174,1.084516639776544,0.7601861486021158
4,7.194242590183862,1.1335233139207868,2.065707964308593,0.961150732064047,0.6275033003780973,0.5541396085280541,0.26459952933970177,1.6677962744866661,2.5770712150265678,1.1390286001747123,0.7768682742334233
5,7.329496524087614,1.0994557697311707,2.0743303001834543,0.9897620967433285,0.6252593545768488,0.5665587156226654,0.27242611872348477,1.6661612966684587,2.555248483970409,1.1591219191136892,0.7737328657187127
6,7.459368127547977,1.068193907848238,2.083607457800053,1.0190156934138626,0.6200043683026791,0.5800929689599517,0.28011663828569594,1.6585899996530844,2.518712531328957,1.1920377581476889,0.7735865344586756
7,7.599474692754996,1.0351969823855214,2.110391350219235,1.0496243053405463,0.61753690092368,0.5941111868057533,0.28847693067588204,1.6558315689484413,2.4824816390900497,1.2132166575414527,0.7710690431490687
8,6.1289062689911065,0.9553874845042054,2.014748875764105,0.9316072724375897,0.5822109242213198,0.5595229698045119,0.2670448794790617,1.5221108510510282,2.2123650480730643,0.9745792613437171,0.6678058225180297
9,4.787381257689871,0.8784996120528819,1.9330422980977353,0.8316359285176518,0.5488490008068726,0.526295284072595,0.24535338476835813,1.4010454502614258,1.9459791783410954,0.7602355940711198,0.5636519487737827
