census_division,Scenario,Category,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
East North Central,NREL Medium Electrification,Transportation: Other,1.073214485,1.091856571,1.104646311,1.118619697,1.133913951,1.149272271,1.164765086,1.179993455,1.193876421,1.206657073,1.220239697,1.23471653,1.24794656,1.259464959,1.270326787,1.281805656,1.294609027,1.307252458,1.319948597,1.331976805,1.344513004,1.357220502,1.368941098,1.380135982,1.391166383,1.402378989,1.413326693,1.423838653,1.434231112,1.444475444,1.454319473,1.464143509,1.474220177,1.484184615
East South Central,NREL High Electrification,Buildings Other,167.9826775,166.9349595,166.6019434,166.5914286,166.7717812,167.1005393,167.4043008,167.7897286,168.2201554,168.696054,169.2630044,169.9400896,170.6369138,171.3771867,172.3329181,173.4822415,174.8420745,176.4013066,178.0890843,179.8350827,181.6721034,183.5897398,185.5283695,187.4634312,189.2541643,191.1032631,193.0151865,194.985609,196.9846533,199.0151806,201.0185181,202.9850268,204.9757645,206.9817699
East South Central,NREL High Electrification,Buildings: Space Heating,13.27455215,13.55604132,13.71232283,13.85435241,13.98121791,14.09499348,14.19618074,14.28506347,14.37469527,14.4584813,14.54467703,14.63686172,14.72823649,14.82430358,14.93942028,15.06015615,15.19239324,15.33563147,15.4910153,15.66076734,15.82968974,15.99870853,16.1676901,16.32268667,16.37225898,16.41771051,16.45036988,16.47029089,16.47441812,16.45965385,16.42752557,16.37042928,16.29228173,16.19510227
East South Central,NREL High Electrification,Buildings: Water Heating,14.12232739,14.02337137,13.91666295,13.80093875,13.68844737,13.58036397,13.4825901,13.39943485,13.33088344,13.27731835,13.23588216,13.20184794,13.16846608,13.13322987,13.09421366,13.0475193,12.98977013,12.92103277,12.84215864,12.75374515,12.65535732,12.54781514,12.43540682,12.31909546,12.15800088,12.00321226,11.85827019,11.72458671,11.60538493,11.50022541,11.41094266,11.33695737,11.27744665,11.23205993
East South Central,NREL High Electrification,Industry,78.26813436,80.51039815,82.73402587,84.0367336,85.86244433,88.2929858,90.09762759,91.30804376,91.81141484,91.8691929,92.03843048,91.90257739,91.82673324,91.77288787,91.83469691,92.18932867,92.91845444,93.87942966,94.71301199,95.44850849,96.35646364,97.51342912,98.61940091,99.72655183,100.7804364,101.721478,102.7279665,103.6653997,104.5735362,105.4691672,106.3833617,107.3698107,108.47724,109.7080121
East South Central,NREL High Electrification,Transportation: Heavy Duty,0.076762155,0.13087012,0.196859877,0.285331826,0.405284818,0.554988151,0.74346186,0.978285475,1.251118427,1.577144274,2.022240318,2.588815625,3.279476125,4.092199075,5.024697386,6.09241624,7.412477918,8.944133483,10.58762417,12.26147318,13.99480906,15.77238788,17.43203491,19.02130734,20.58297744,22.09669533,23.57856678,24.95456084,26.22498496,27.42695509,28.4994646,29.50671002,30.49463099,31.43251829
East South Central,NREL High Electrification,Transportation: Light Duty,0.617923204,0.814161298,1.088152988,1.472732777,1.995902636,2.767572757,3.664930999,4.812735392,6.196285776,8.226924116,10.99896188,13.99063129,17.06117848,20.18856873,23.51471365,27.13524056,30.85991124,34.47792567,38.01310263,41.50075111,44.83072662,47.98551685,50.9699346,53.79863222,56.59737204,59.25125583,61.77942974,64.21197423,66.58719792,69.07037111,71.55708102,74.05775058,76.57394752,79.10317137
East South Central,NREL High Electrification,Transportation: Other,0.427811405,0.435242629,0.440340955,0.445911112,0.452007802,0.458130031,0.464305873,0.4703763,0.475910413,0.481005116,0.486419506,0.492190351,0.497464187,0.502055723,0.506385532,0.51096131,0.516065069,0.521105072,0.526166085,0.530960844,0.535958101,0.541023643,0.545695779,0.550158354,0.55455536,0.559024998,0.56338904,0.567579383,0.571722089,0.575805748,0.579729836,0.583645954,0.587662778,0.591634864
East South Central,NREL Medium Electrification,Buildings Other,168.3920898,167.5543614,167.4630445,167.7119178,168.1021641,168.6107395,169.0755344,169.6071839,170.1682278,170.7582574,171.4237313,172.1857819,172.9549931,173.7589355,174.6719361,175.7182191,176.9444457,178.3534652,179.8820578,181.4636154,183.1340726,184.8833201,186.6523832,188.4177283,190.0302711,191.6940831,193.4162452,195.1919432,196.9884578,198.8167862,200.6186298,202.3873166,204.183675,205.9980051
East South Central,NREL Medium Electrification,Buildings: Space Heating,13.27455215,13.55595657,13.71153817,13.85194832,13.97579713,14.08448497,14.17762513,14.25430722,14.32594534,14.38393515,14.43412556,14.47748289,14.50483914,14.5202541,14.53684345,14.54186794,14.54332566,14.54360976,14.54951291,14.56736526,14.58830421,14.61713567,14.6581781,14.70627286,14.67526071,14.66241111,14.66094566,14.67240463,14.69509132,14.72760534,14.77009587,14.81444165,14.86210325,14.91201196
East South Central,NREL Medium Electrification,Buildings: Water Heating,14.12232739,14.02337137,13.91683446,13.80162166,13.69018151,13.58402345,13.48954369,13.41174386,13.35161236,13.31080873,13.28807883,13.28082689,13.28466711,13.29967265,13.32484253,13.35679252,13.3922738,13.43102886,13.4715725,13.5116856,13.54730589,13.57595327,13.59718514,13.60911948,13.55788194,13.49806885,13.43011343,13.35354403,13.26972821,13.17865606,13.08125278,12.97832098,12.87079206,12.76045951
East South Central,NREL Medium Electrification,Industry,78.26804133,80.50625512,82.72404809,84.01885123,85.83053794,88.23980675,90.01479891,91.18685986,91.64219815,91.6404042,91.7396124,91.52217917,91.35049765,91.18347951,91.11624677,91.3245842,91.89074441,92.66690477,93.30019576,93.81295082,94.47905024,95.36657965,96.17022894,96.96214443,97.6989609,98.3059602,98.96310148,99.54422428,100.0986895,100.6494745,101.2135493,101.8650668,102.6373017,103.5375802
East South Central,NREL Medium Electrification,Transportation: Heavy Duty,0.02383155,0.040706692,0.061391126,0.089577119,0.127869805,0.175799728,0.236690761,0.312192855,0.39938755,0.502996365,0.644149092,0.823072689,1.040894419,1.297427972,1.600030299,1.951322442,2.391493636,2.901651098,3.446551967,4.003676786,4.581369797,5.177835637,5.732576716,6.274884964,6.802600701,7.316769192,7.81835688,8.281883549,8.710732877,9.11942977,9.486513288,9.835351261,10.17934626,10.50674562
East South Central,NREL Medium Electrification,Transportation: Light Duty,0.616601365,0.806939214,1.066044999,1.428348972,1.920531828,2.62735779,3.46940382,4.497329741,5.748319315,7.451598089,9.624717984,12.31401709,15.04618351,17.84134799,20.71604287,23.73318115,26.80874063,29.77668,32.57461856,35.2334863,37.67288075,39.88539279,41.8794224,43.66850495,45.32137929,46.77732787,48.05126846,49.16860077,50.16503204,51.1650159,52.11527406,53.037073,53.94224668,54.83765369
East South Central,NREL Medium Electrification,Transportation: Other,0.427811405,0.435242629,0.440340955,0.445911112,0.452007802,0.458130031,0.464305873,0.4703763,0.475910413,0.481005116,0.486419506,0.492190351,0.497464187,0.502055723,0.506385532,0.51096131,0.516065069,0.521105072,0.526166085,0.530960844,0.535958101,0.541023643,0.545695779,0.550158354,0.55455536,0.559024998,0.56338904,0.567579383,0.571722089,0.575805748,0.579729836,0.583645954,0.587662778,0.591634864
Middle Atlantic,NREL High Electrification,Buildings Other,269.1715786,268.2336151,267.5762509,267.2263062,267.147366,267.1588165,267.1549801,267.2412719,267.3754953,267.5767967,267.9583608,268.4664479,269.1208582,269.9185452,271.1077829,272.6045406,274.3330866,276.3125232,278.5278589,280.8727084,283.4090503,286.0970599,288.8872557,291.7962333,294.3317317,296.9398157,299.5944215,302.27636,305.0206727,307.8073974,310.5936108,313.4027971,316.2665906,319.1981612
Middle Atlantic,NREL High Electrification,Buildings: Space Heating,16.07967722,16.80640612,17.65382447,18.49027054,19.34424836,20.20942162,21.10065365,22.03337005,23.02885262,24.12065802,25.34034834,26.73219882,28.32886963,30.15213199,32.21145045,34.49519093,36.97116037,39.64335637,42.45607555,45.38628409,48.37630756,51.4266354,54.46644585,57.49210164,60.04835681,62.50325787,64.8371821,67.02752713,69.06500373,70.93119573,72.60002336,74.05871024,75.30313747,76.33636059
Middle Atlantic,NREL High Electrification,Buildings: Water Heating,11.44851843,11.46261693,11.46149284,11.44193089,11.41673918,11.38443559,11.35016748,11.31929743,11.2988745,11.29803671,11.32567813,11.38841103,11.49203708,11.64328107,11.8468573,12.09921662,12.39338883,12.7226483,13.07582798,13.4415408,13.80869383,14.16900228,14.51504185,14.84088478,15.06305198,15.25971627,15.42973742,15.57276381,15.68959708,15.78368984,15.85453274,15.90567535,15.94009049,15.96130249
Middle Atlantic,NREL High Electrification,Industry,62.27267103,64.14038583,65.34264469,66.5009764,68.22001187,69.69007341,70.97012614,71.74631515,71.91629736,71.65716784,71.77748981,71.76480711,71.76954931,71.80743883,72.00630827,72.34826959,73.13899061,74.10908431,74.92331649,75.69567268,76.75054033,78.08400853,79.18890733,80.37623671,81.68190714,82.90063128,84.20815782,85.4728283,86.7244304,87.95166397,89.04735592,90.19835756,91.504472,92.7033398
