,ID,Date,Hour,Data,Primary Key,ISO NEW ENGLAND_SH,MISO_SH,PJM INTERCONNECTION _SH,NEW YORK INDEPENDENT SYSTEM OPERATOR_SH,DUKE ENERGY CAROLINAS_SH,FLORIDA POWER LIGHT COMPANY_SH,EASTERN_WH,CENTRAL_WH,EASTERN_HDV,CENTRAL_HDV,EASTERN_LDVU,CENTRAL_LDVU,EASTERN_LDVM_CHARGING,CENTRAL_LDVM_CHARGING,EASTERN_LDVM_DISCHARGING,CENTRAL_LDVM_DISCHARGING,ERCOT_AEN_SH,ERCOT_CPS_SH,ERCOT_Houston_SH,ERCOT_LCRA_SH,ERCOT_North_SH,ERCOT_RAYBURN_SH,ERCOT_South_SH,ERCOT_West_SH,CA_SH,OR_SH,WA_SH,NV_SH,ID_SH,MT_SH,WY_SH,UT_SH,CO_SH,AZ_SH,NM_SH,WECC_EV_Flat,WECC_EV_LDVUse,WECC_EV_LDVChar,WECC_WH
0,ElecLoadShapes,39814,1,,,0.6174979758799308,0.6616623961035223,0.6313048060972068,0.6515665863035479,0.6327512612930799,0.6416529373047682,0.18609238283371146,0.21104167706220592,0.4549598142299207,0.4634787377520854,0.004404758690244848,0.004404758690244848,0.9998449987421426,0.9998916980276199,-0.020039516070274235,-0.018282434764069495,0.27960755227729245,0.27960755227729245,0.25732903782832217,0.27960755227729245,0.379102395622146,0.4164744634678474,0.27960755227729245,0.5987526387488986,0.4265816208321345,0.3164726885456236,0.28915784534214173,0.5604539683377768,0.386700154927741,0.45179864318307267,0.469213325146673,0.47296285117874015,0.46101699818266273,0.6604784670666849,0.6619641840964063,1,-0.018282434764069495,0.7778190943113316,0.21104167706220592
1,ElecLoadShapes,39814,2,,,0.6452888330815875,0.6344667831156866,0.6586589968455899,0.6785648026342013,0.6604231948181587,0.6674635235571449,0.15732731419380025,0.18609238283371146,0.4554523682946053,0.4549598142299207,0.0059641967623341365,0.004404758690244848,1.0,0.9998449987421426,-0.006102594611545098,-0.020039516070274235,0.5230742743953323,0.5230742743953323,0.393785528007871,0.5230742743953323,0.5094150616666082,0.4957452396203907,0.5230742743953323,0.775779301979828,0.5417468505944513,0.3589766895030959,0.3699786213413615,0.4319195788889353,0.35432232084161724,0.34517705460434533,0.3175517967048753,0.4961918786175885,0.2732072658126372,0.43938335053312966,0.4339862690760323,1,-0.02003951607027423,0.6749529698611425,0.18609238283371146
2,ElecLoadShapes,39814,3,,,0.6452888330815875,0.6616623961035223,0.6586589968455899,0.6785648026342013,0.6604231948181587,0.6674635235571449,0.1708292851880443,0.15732731419380025,0.45972615901259056,0.4554523682946053,0.014187454980850535,0.0059641967623341365,0.9902929326097731,1.0,-0.07435311094804256,-0.006102594611545098,0.5340658301684317,0.5340658301684317,0.3965742800962822,0.5340658301684317,0.5255163343571956,0.4957886278204377,0.5340658301684317,0.7677137235128243,0.5676627304959353,0.36033538075628885,0.36714147192549235,0.45366268893145395,0.3623470271008988,0.35171381955972775,0.3171305058134171,0.4923437183164514,0.27205518912003657,0.4734260768922197,0.4463906838834402,1,-0.006102594611545098,0.571641434860924,0.15732731419380025
3,ElecLoadShapes,39814,4,,,0.6174979758799308,0.6616623961035223,0.6313048060972068,0.6515665863035479,0.6327512612930799,0.6416529373047682,0.2914664608105292,0.1708292851880443,0.47033623406960967,0.45972615901259056,0.04604286416736777,0.014187454980850535,0.9578772816077195,0.9902929326097731,-0.2871555774958499,-0.07435311094804256,0.5528577733006352,0.5528577733006352,0.39760958647654515,0.5528577733006352,0.5452043651560822,0.4986794769235694,0.5528577733006352,0.7748774150905221,0.5826046688192467,0.3551024910459249,0.3627538335714372,0.47277225012526575,0.36384804657241887,0.35982986388483373,0.3207581303019243,0.4991588747294811,0.2758330994548421,0.493056740648146,0.45867535611828814,1,-0.07435311094804255,0.4810073561512957,0.1708292851880443
4,ElecLoadShapes,39814,5,,,0.6734661392440611,0.6344667831156866,0.6862735571449505,0.7056089698973541,0.6883152943199584,0.6935706944816262,0.6971390497547632,0.2914664608105292,0.4600935881251962,0.47033623406960967,0.1712142692287078,0.04604286416736777,0.8952144032248542,0.9578772816077195,-0.6003421588851309,-0.2871555774958499,0.5692986581975217,0.5692986581975217,0.39830866793211916,0.5692986581975217,0.5684521090275194,0.5027416002446368,0.5692986581975217,0.7793865446883558,0.6024923603153327,0.3489412954872951,0.35914861407532533,0.4938010153826183,0.36583804950512727,0.3708426446468776,0.3250900467334821,0.5082303493614871,0.28002428393255013,0.5209329396235296,0.464875745772797,1,-0.2871555774958499,0.4071040430483271,0.2914664608105292
5,ElecLoadShapes,39814,6,,,0.7019978360969724,0.6890887713426738,0.714117106161353,0.732664824714852,0.716387733259988,0.7199659556217071,0.9350643251509432,0.6971390497547632,0.45205162942848287,0.4600935881251962,0.28087680844102714,0.1712142692287078,0.7923903231325121,0.8952144032248542,-0.866447810192392,-0.6003421588851309,0.5850720058150158,0.5850720058150158,0.39844571346460506,0.5850720058150158,0.5883306152541299,0.5062306076817499,0.5850720058150158,0.7851136372055395,0.6202803809658413,0.343156142823043,0.3567150668305285,0.5084802795917454,0.3676401846111108,0.38027414212648747,0.32776380284545137,0.5181745418819429,0.28322509529426415,0.5471170245267463,0.4750773465362291,1,-0.6003421588851309,0.3401902113683008,0.6971390497547632
6,ElecLoadShapes,39814,7,,,0.5108169401785537,0.7167179379454645,0.5251604967492701,0.5448537445399871,0.5250947772735257,0.5416256613327534,0.6776433777235089,0.9350643251509432,0.456222217431447,0.45205162942848287,0.37039658845250223,0.28087680844102714,0.7404758309487257,0.7923903231325121,-0.7241735191620637,-0.866447810192392,0.5961035257778171,0.5961035257778171,0.41144644964967597,0.5961035257778171,0.5850913488841523,0.5257669801695809,0.5961035257778171,0.7793954256111144,0.6319418394998386,0.3328427360179165,0.35820400775101596,0.5236166304535712,0.3663255068267367,0.38879666104356125,0.3374587282526889,0.5176665638423597,0.280826735075531,0.5567685792542306,0.473159953836745,1,-0.866447810192392,0.2856326422238757,0.9350643251509432
7,ElecLoadShapes,39814,8,,,0.41264448031278084,0.5286170080309788,0.4258884489482631,0.4424667904131186,0.4242693118845089,0.4475335453153419,0.623682457123904,0.6776433777235089,0.46009478828035044,0.456222217431447,0.37546175964602574,0.37039658845250223,0.7326381129711712,0.7404758309487257,-0.48388025797501144,-0.7241735191620637,0.607196751127859,0.607196751127859,0.42095843084833806,0.607196751127859,0.5840362110324904,0.546326497475187,0.607196751127859,0.7684831019957512,0.6431392389009863,0.32337870487760406,0.3598060260209656,0.5390927431150606,0.3632467276031051,0.39808444068961485,0.3469851017268136,0.5153142061698981,0.2768113634365153,0.5725792585552781,0.4730704680525529,1,-0.7241735191620636,0.2647345879045593,0.6776433777235089
8,ElecLoadShapes,39814,9,,,0.28424220287003354,0.4290861839871066,0.29407058260669783,0.3037673965514287,0.2907926229630005,0.32005961120328175,0.5600617568412432,0.623682457123904,0.46733263179842105,0.46009478828035044,0.3237150828178683,0.37546175964602574,0.7039390214730706,0.7326381129711712,-0.40329684242310837,-0.48388025797501144,0.6156432778552162,0.6156432778552162,0.4346998327714561,0.6156432778552162,0.5846825608172764,0.5670549828143097,0.6156432778552162,0.7626657960994118,0.6552190864392113,0.31338941085273114,0.3644311802728578,0.5552857033149353,0.36180109351290907,0.4077043373427607,0.35734113385410293,0.51445717789339,0.2728295185239153,0.5827522572115836,0.47153094953832825,1,-0.4838802579750114,0.23598733923090004,0.623682457123904
9,ElecLoadShapes,39814,10,,,0.21212435431680865,0.2961724408071435,0.21937628735678857,0.2246854016834039,0.21568756261531097,0.2454818685580674,0.5712507814999516,0.5600617568412432,0.4692324015768136,0.46733263179842105,0.3331169376745665,0.3237150828178683,0.6693942293412204,0.7039390214730706,-0.42237821125268216,-0.40329684242310837,0.5907027073304647,0.5907027073304647,0.39185931797590345,0.5907027073304647,0.5705096737583923,0.5538981928500565,0.5907027073304647,0.7056761102259049,0.5284281517863822,0.2892283555685079,0.3479152388829924,0.4928508199140641,0.34110439185636254,0.3839684333477908,0.33079289841098547,0.4729109334290009,0.243143184368591,0.46812600276240857,0.40838251307966694,1,-0.40329684242310837,0.23337251732760675,0.5600617568412432
