,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,WECC_AZPublicService,SH,WECC_AZPublicService_capacity_SH0,,,,,,,,,,-679.5991341359954,-684.9368532792079,-690.0727954905592,-695.0107891185502,-699.7451889820368,-704.2966915501922,-708.6669425704099,-712.835088815604,-716.815195305265,-720.6189965491021,-724.2227184397167,-727.6245443551625,-730.8424645836466,-733.9365565954374,-736.8835333072186,-739.6656494703703,-742.2485241134214,-744.5627234888492,-746.558903934872,-748.1497410750251,-749.2759585056882,-749.902567186388,-750.0254175623882,-749.715297314478,-749.0152681996218,-748.0153221125113,-746.8011727631215,-745.4269334466518,-743.9337354168664,-742.370197330199,-740.7517224425471,-739.0829288968176,-737.3798534067929,,,,
1,WECC_CA_BANC,SH,WECC_CA_BANC_capacity_SH1,,,,,,,,,,-236.15876444689633,-238.08119606690218,-239.9445096363064,-241.7533282963918,-243.50520043225941,-245.20606261171974,-246.85474557107395,-248.4424767276175,-249.97330375171856,-251.45051836985533,-252.86430775853376,-254.21160033597258,-255.49521728507725,-256.72540163401015,-257.88958576107035,-258.97866562195475,-259.9804510151986,-260.87374964571364,-261.6491175395077,-262.2853146722542,-262.7714923933411,-263.10275409347776,-263.2806791998828,-263.32943872269755,-263.2587006554043,-263.093065058073,-262.8550460177661,-262.5563654248723,-262.20533124618686,-261.8147018150773,-261.3871150700987,-260.92328566678384,-260.43021132735026,,,,
2,WECC_CA_IID,SH,WECC_CA_IID_capacity_SH2,,,,,,,,,,-54.57943611720018,-55.02373567152559,-55.45437225689983,-55.87241434285396,-56.27729532852914,-56.670387233821906,-57.05141982631678,-57.41836564529927,-57.772160161306715,-58.11356413617431,-58.44030969568498,-58.751686956375366,-59.048347931193305,-59.33265992038504,-59.60171837917381,-59.85341924165456,-60.08494518989429,-60.29139840221512,-60.47059625043293,-60.617629882007044,-60.72999202927614,-60.80655102060991,-60.84767188267669,-60.8589408578799,-60.84259234829175,-60.804311755469165,-60.74930238482169,-60.68027332135467,-60.59914464685728,-60.50886498211279,-60.410043989858785,-60.302846836508195,-60.18889078887567,,,,
3,WECC_CA_LDWP,SH,WECC_CA_LDWP_capacity_SH3,,,,,,,,,,-383.699304660489,-386.8227783015423,-389.85019980173234,-392.7890806167518,-395.63543748163823,-398.39891584379313,-401.07761594027863,-403.6572845042652,-406.1444979942186,-408.5446046476427,-410.8416610649338,-413.03067668901303,-415.1162352410127,-417.11497909621227,-419.00648899251433,-420.7759731203629,-422.4036254317515,-423.8550137136371,-425.11479385519414,-426.148456095228,-426.93837407248105,-427.47659201370715,-427.7656760956346,-427.84489820303094,-427.72996642272204,-427.46084973898644,-427.07412794834863,-426.5888462096955,-426.01850290446555,-425.3838271538209,-424.68910495236213,-423.9354974377318,-423.13437416953667,,,,
4,WECC_CA_PGandE_BayArea,SH,WECC_CA_PGandE_BayArea_capacity_SH4,,,,,,,,,,-593.2139142716769,-598.0429249115922,-602.7234352395093,-607.2670582554492,-611.6676356782502,-615.9400797413675,-620.0814533380754,-624.0697203684786,-627.9150482908477,-631.6257056865054,-635.1770434451439,-638.5613459731637,-641.7856998801095,-644.8758349196257,-647.800182125472,-650.5358727899402,-653.0522859994103,-655.2961882253661,-657.2438568810497,-658.8419385455132,-660.0631821848636,-660.8952878670161,-661.3422230001032,-661.4647034316667,-661.2870144693903,-660.8709497035295,-660.2730629094383,-659.5227986368312,-658.641025903692,-657.6597927303186,-656.585725429562,-655.4206191649731,-654.1820517139305,,,,
5,WECC_CA_PGandE_North,SH,WECC_CA_PGandE_North_capacity_SH5,,,,,,,,,,-627.6048277820848,-632.7137949153706,-637.6656525970827,-642.4726870779358,-647.1283830573018,-651.6485172887005,-656.0299823899267,-660.2494647428283,-664.3177212527033,-668.2434998626325,-672.0007224576939,-675.5812261413744,-678.9925083614852,-682.261790525374,-685.3556734912739,-688.2499627637139,-690.9122622158383,-693.2862521648264,-695.346834733473,-697.0375633958961,-698.3296072699775,-699.2099533488198,-699.6827990466071,-699.8123801442663,-699.6243898630452,-699.1842042075131,-698.5516555949282,-697.7578955898568,-696.8250030682708,-695.7868839986174,-694.6505488468277,-693.4178968490523,-692.1075248346629,,,,
6,WECC_CA_PGandE_ZP26,SH,WECC_CA_PGandE_ZP26_capacity_SH6,,,,,,,,,,-87.56184805038998,-88.27463830313567,-88.96550904010168,-89.63617440810549,-90.2857254087801,-90.91636317512074,-91.52765417297273,-92.11634574493173,-92.6839386673867,-93.23165343136782,-93.7558516838301,-94.25539455796995,-94.73132807886066,-95.18745010883278,-95.61910088357777,-96.02290484790171,-96.39434217561536,-96.72555528613437,-97.01304258671607,-97.2489287999511,-97.42919151363441,-97.55201518575267,-97.6179854289824,-97.63606425801808,-97.60983632650677,-97.54842273027955,-97.46017113779995,-97.34942773705502,-97.21927291732372,-97.07443715409923,-96.91589852996701,-96.74392202158089,-96.56110221183064,,,,
7,WECC_CA_SCE,SH,WECC_CA_SCE_capacity_SH7,,,,,,,,,,-1314.836222333068,-1325.5395419192039,-1335.9137161758968,-1345.9844848788173,-1355.7381984305023,-1365.2079092328452,-1374.3871072997865,-1383.2269504486935,-1391.749974466576,-1399.974506351451,-1407.8459122818563,-1415.3470909361652,-1422.4937495166182,-1429.342917049792,-1435.8246221150648,-1441.8881770860523,-1447.4657118649375,-1452.4392363475565,-1456.7561703168815,-1460.2982579317056,-1463.0050983052718,-1464.849429102951,-1465.840043934934,-1466.1115171827328,-1465.7176763130412,-1464.7954844833669,-1463.4702909995108,-1461.8073585931509,-1459.8529426539685,-1457.6780764078012,-1455.2974468266627,-1452.71503282272,-1449.9697948752373,,,,
8,WECC_CA_SDGE,SH,WECC_CA_SDGE_capacity_SH8,,,,,,,,,,-266.55892348851967,-268.7288251828702,-270.83199869982695,-272.87366230671256,-274.8510487980423,-276.770858941956,-278.6317729582052,-280.4238889902681,-282.15177575554316,-283.81914871667067,-285.41493186860345,-286.93565823210423,-288.38451215427955,-289.7730552240741,-291.0871020195779,-292.31637655440323,-293.44711941129026,-294.45541026114097,-295.3305894295338,-296.0486827140602,-296.5974449429809,-296.97134917807557,-297.172178162492,-297.2272143833231,-297.1473703719797,-296.9604128960656,-296.69175422780654,-296.35462518880956,-295.9584032107805,-295.5174889771573,-295.03486000208454,-294.51132293701096,-293.9547763043799,,,,
9,WECC_CA_TIDC,SH,WECC_CA_TIDC_capacity_SH9,,,,,,,,,,-36.50366587623496,-36.8008210620311,-37.08883821913086,-37.36843195833889,-37.63922332725282,-37.902129956384115,-38.15697110964413,-38.40239078642597,-38.63901464551911,-38.86735149752734,-39.08588454915704,-39.29413901813493,-39.492550981937875,-39.68270373169838,-39.862654657899036,-40.030996525063586,-40.18584506248844,-40.32392452277183,-40.44377512663364,-40.54211374904128,-40.617263486247055,-40.66846745679501,-40.69596979680097,-40.703506681291714,-40.69257251681449,-40.66696979774388,-40.63017858425709,-40.58401075901355,-40.529750505747565,-40.46936991276792,-40.40327673300233,-40.33158143258936,-40.25536566739857,,,,
10,WECC_ElPasoElectric,SH,WECC_ElPasoElectric_capacity_SH10,,,,,,,,,,-168.7816658418562,-170.10731368855738,-171.3828492779331,-172.60922339847752,-173.78503404269892,-174.9154212768048,-176.00079382996023,-177.03597270438706,-178.0244510143352,-178.96914308090524,-179.86414449185023,-180.70900408050008,-181.50818982019388,-182.27662223540284,-183.00851786861895,-183.699469603246,-184.34093876207456,-184.91568114483448,-185.41144201926377,-185.80653396260402,-186.08623539908265,-186.24185663467165,-186.27236710778604,-186.19534727443957,-186.0214917260604,-185.77315037620104,-185.47161063096385,-185.13031178367493,-184.75946897614347,-184.371156882117,-183.9692009731997,-183.55474818706938,-183.13178131759827,,,,
11,WECC_NevadaNorth,SH,WECC_NevadaNorth_capacity_SH11,,,,,,,,,,-235.56422995502336,-237.41440255903288,-239.19463477437935,-240.90625359210983,-242.54730226642766,-244.12495465553633,-245.63978121221896,-247.08455374248027,-248.4641474960361,-249.7826299158903,-251.0317603657311,-252.21090916384108,-253.32631214569335,-254.39879350353695,-255.42028141447832,-256.38462497923496,-257.2799069856405,-258.0820601468979,-258.7739808483809,-259.3254005119454,-259.71577261292435,-259.9329691688614,-259.97555185145853,-259.86805725100515,-259.6254115336929,-259.27880789902787,-258.85795663219545,-258.3816146092326,-257.86403884082915,-257.3220816385743,-256.7610821147949,-256.1826410209087,-255.59231703988573,,,,
12,WECC_NevadaSouth,SH,WECC_NevadaSouth_capacity_SH12,,,,,,,,,,-385.6285528368191,-388.65736321231094,-391.5716782296997,-394.3736702291459,-397.0601359354749,-399.6428192563156,-402.1226540468686,-404.4878074495284,-406.7462604531446,-408.9046716330009,-410.94955072083394,-412.87986690118623,-414.7058284990218,-416.461525592968,-418.13374426942755,-419.71241524755357,-421.1780295497628,-422.49118801524065,-423.6238913074241,-424.52658849072213,-425.165644040018,-425.5212039378986,-425.5909135804406,-425.41494039801586,-425.0177191525109,-424.45031442357816,-423.7613631977527,-422.9815712700666,-422.1342779667034,-421.2470712305833,-420.3286914131615,-419.3817590118403,-418.4153738244533,,,,
13,WECC_NorthwesternMT,SH,WECC_NorthwesternMT_capacity_SH13,,,,,,,,,,-178.00355710242985,-179.40163568520128,-180.7468639775465,-182.04024471713356,-183.28029929359693,-184.47244861603906,-185.61712374576575,-186.7088627149611,-187.75134949462253,-188.74765763850274,-189.69156012912737,-190.58258114898553,-191.42543279250657,-192.2358508116543,-193.0077357524172,-193.736439702199,-194.41295744761558,-195.01910259992525,-195.54195085290613,-195.95862982657485,-196.2536135878236,-196.41773765519395,-196.44991515928572,-196.3686871169227,-196.18533245053084,-195.92342222805445,-195.60540695671403,-195.24546022583326,-194.85435531205485,-194.44482662505064,-194.02090865251054,-193.58381099848376,-193.1377340687011,,,,
14,WECC_PNW_Avista,SH,WECC_PNW_Avista_capacity_SH14,,,,,,,,,,-185.11424235826908,-186.62115011016402,-188.08171787898678,-189.49956953742267,-190.8727833747293,-192.2060127996208,-193.4983412788311,-194.74289237902232,-195.94283888709165,-197.1007610394937,-198.20896700488447,-199.26504910834407,-200.27121874836683,-201.23550497440237,-202.14805659259451,-203.00173735175434,-203.7869919007872,-204.48720855196578,-205.0949845984944,-205.59367093984056,-205.9747638063334,-206.23442496600592,-206.37389246087463,-206.412112859532,-206.35666446758458,-206.22683016658223,-206.040257737579,-205.80613544366304,-205.53097552664107,-205.22477867067414,-204.88961263724516,-204.52603761270944,-204.13953879703203,,,,
15,WECC_PNW_Bonneville_IDMT,SH,WECC_PNW_Bonneville_IDMT_capacity_SH15,,,,,,,,,,-51.144086506999486,-51.56042087133124,-51.96395224399264,-52.35568184269522,-52.73507872968294,-53.10342856690594,-53.460478130970664,-53.80432757399391,-54.13585348594236,-54.45576874463005,-54.761948220825204,-55.053726712689155,-55.33171519404244,-55.598131962053294,-55.850255290373944,-56.08611354762964,-56.30306674406724,-56.49652533766485,-56.66444407965113,-56.802223091448106,-56.907512918329104,-56.979253118562305,-57.017785743235635,-57.02834542438369,-57.01302592590368,-56.97715479768877,-56.925607837675315,-56.860923615107076,-56.78490135760734,-56.70030409328968,-56.60770311137969,-56.50725318235341,-56.40046977869936,,,,
16,WECC_PNW_Bonneville_OR,SH,WECC_PNW_Bonneville_OR_capacity_SH16,,,,,,,,,,-261.2315937433409,-263.3581287340405,-265.41926914743607,-267.420128960848,-269.3579962729467,-271.23943793325867,-273.0631605380846,-274.81946012506484,-276.5128141032155,-278.1468636795699,-279.7107542092603,-281.20108800257606,-282.62098576565904,-283.9817780226075,-285.26956285513285,-286.47426964820465,-287.5824139742422,-288.5705535653547,-289.42824178669866,-290.1319835737611,-290.6697784814347,-291.03621003046277,-291.23302533487043,-291.2869616259282,-291.2087133419799,-291.02549231618895,-290.7622029422533,-290.4318116163814,-290.0435083570417,-289.61140604192843,-289.138422677894,-288.6253487950054,-288.07992505929997,,,,
17,WECC_PNW_Bonneville_WA,SH,WECC_PNW_Bonneville_WA_capacity_SH17,,,,,,,,,,-444.2487013787228,-447.8650725630708,-451.3702341665705,-454.77288298485405,-458.06840717665585,-461.26797428236597,-464.3693847483028,-467.3561360809709,-470.23584253220145,-473.01469631432514,-475.67423809086864,-478.2086897734314,-480.62335841400903,-482.93751262611215,-485.12751090046595,-487.176227216495,-489.0607300468306,-490.7411536274635,-492.1997324810392,-493.39651105796565,-494.31108148154476,-494.93423252337413,-495.26893531388146,-495.36065900976473,-495.22759050135403,-494.9160060501529,-494.4682579015402,-493.9063966221975,-493.2460506960753,-492.5112203886035,-491.70686804272117,-490.83433802857377,-489.9067940710603,,,,
18,WECC_PNW_ChelanCountyPUD,SH,WECC_PNW_ChelanCountyPUD_capacity_SH18,,,,,,,,,,-28.792717668939304,-29.027102494767423,-29.254279587509302,-29.474812605270152,-29.68840264465851,-29.895773498082796,-30.09678260771908,-30.29036041132763,-30.477000405012195,-30.65710391942572,-30.82947456510935,-30.99373785167637,-31.150237740626913,-31.300223072412205,-31.442161589763494,-31.574943318304523,-31.697082016227046,-31.80599389727753,-31.90052754250497,-31.97809334645834,-32.037368630579046,-32.07775639526314,-32.09944920588965,-32.10539401669252,-32.096769559307724,-32.07657509817452,-32.04755557377347,-32.01114013094828,-31.968341685492696,-31.920715746436585,-31.868583933941785,-31.812033379540487,-31.751917252669813,,,,
19,WECC_PNW_DouglasCountyPUD,SH,WECC_PNW_DouglasCountyPUD_capacity_SH19,,,,,,,,,,-31.64580741324717,-31.90341758898774,-32.15310581252652,-32.39549159522915,-32.63024641516627,-32.858165785822436,-33.07909302322318,-33.29185258148759,-33.49698685758002,-33.694936950277516,-33.884387919085704,-34.06492816511377,-34.236935733238056,-34.4017832123494,-34.557786512776524,-34.70372567203624,-34.83796717562069,-34.95767120816001,-35.06157225582551,-35.14682410742166,-35.211973019282546,-35.25636283471227,-35.28020520052267,-35.286739086623285,-35.277260025960054,-35.25506448210124,-35.223169393524365,-35.18314551999619,-35.136106147817195,-35.083760922452434,-35.026463333621706,-34.96430914677931,-34.89823607249525,,,,
20,WECC_PNW_GrantCountyPUD,SH,WECC_PNW_GrantCountyPUD_capacity_SH20,,,,,,,,,,-72.61880120042214,-73.20994876998864,-73.78291754371816,-74.33912913718578,-74.87782967900598,-75.40084466330616,-75.90781454159239,-76.39604174538384,-76.86677093299537,-77.32101431005603,-77.75575443412535,-78.17004679405103,-78.56475890335106,-78.94304049236706,-79.30102701843005,-79.63591898864416,-79.94396791703282,-80.21865717454955,-80.45708273994617,-80.6527133074392,-80.8022129178321,-80.90407586415924,-80.95878782016418,-80.97378136953424,-80.95202941949292,-80.90109648654636,-80.8279056506676,-80.7360613922147,-80.62811841031343,-80.5079998914551,-80.3765170015346,-80.23388949707115,-80.0822691770876,,,,
21,WECC_PNW_IdahoPowerFE,SH,WECC_PNW_IdahoPowerFE_capacity_SH21,,,,,,,,,,-33.929122424017415,-34.19560911768473,-34.45202205775294,-34.69855237528509,-34.93491823348577,-35.162152907709576,-35.380338562223635,-35.58843409550326,-35.787141706453966,-35.977047242815274,-36.15696377752985,-36.326800615384414,-36.48745592510868,-36.64192908639764,-36.78905748696847,-36.927955191741766,-37.05690572385418,-37.17244258960122,-37.27210229681912,-37.351525158582405,-37.40775178860838,-37.43903535206736,-37.44516868161088,-37.42968586633201,-37.394736773042574,-37.34481426504803,-37.28419761642787,-37.21558844424627,-37.14104023455749,-37.06298028348854,-36.98217760166472,-36.89886275079244,-36.81383636700834,,,,
22,WECC_PNW_IdahoPowerMV,SH,WECC_PNW_IdahoPowerMV_capacity_SH22,,,,,,,,,,-85.02556973986835,-85.6933790239988,-86.33594372241673,-86.95374280499732,-87.54606999546833,-88.11551465716863,-88.66228269178752,-89.18376512379103,-89.68172164685078,-90.15762038139765,-90.60848691659872,-91.03409397241752,-91.43669233822054,-91.82379838782516,-92.19249864264211,-92.54057297054014,-92.863719921531,-93.15325254525565,-93.40299738923996,-93.60202918226427,-93.74293177304651,-93.82132763526042,-93.83669761248304,-93.79789804750133,-93.71031645515451,-93.5852118434869,-93.43330797104835,-93.26137502562113,-93.07455899416995,-92.87894262276612,-92.67645303365383,-92.46766800895796,-92.25459392369821,,,,
23,WECC_PNW_IdahoPowerTV,SH,WECC_PNW_IdahoPowerTV_capacity_SH23,,,,,,,,,,-155.4521545323507,-156.67310950333643,-157.8479098263581,-158.97743120150542,-160.06038234465592,-161.10149738592037,-162.1011527751282,-163.05457852521417,-163.9649918821596,-164.83507700891462,-165.65939579346352,-166.43753269996847,-167.1736028441234,-167.88134840381386,-168.55544266937744,-169.1918265757093,-169.7826357865829,-170.31198796032433,-170.76859618064537,-171.13248578633372,-171.39009783625352,-171.53342890389425,-171.56152981614545,-171.49059261466854,-171.33046728684843,-171.1017386645627,-170.82401298363368,-170.50966817084944,-170.16811262845064,-169.81046743431006,-169.44025594388222,-169.05853451558292,-168.66897140262785,,,,
