,ID,Date,Hour,Data,Primary Key,ISO NEW ENGLAND_SH,MISO_SH,PJM INTERCONNECTION _SH,NEW YORK INDEPENDENT SYSTEM OPERATOR_SH,DUKE ENERGY CAROLINAS_SH,FLORIDA POWER LIGHT COMPANY_SH,ISO NEW ENGLAND_WH,PJM INTERCONNECTION _WH,NEW YORK INDEPENDENT SYSTEM OPERATOR_WH,EASTERN_WH,CENTRAL_WH,EASTERN_HDV,CENTRAL_HDV,EASTERN_LDVU,CENTRAL_LDVU,EASTERN_LDVM_CHARGING,EASTERN_LDVM,EASTERN_LDVM_DISCHARGING,CENTRAL_LDVM_DISCHARGING,ERCOT_AEN_SH,ERCOT_CPS_SH,ERCOT_Houston_SH,ERCOT_LCRA_SH,ERCOT_North_SH,ERCOT_RAYBURN_SH,ERCOT_South_SH,ERCOT_West_SH,CA_SH,OR_SH,WA_SH,NV_SH,ID_SH,MT_SH,WY_SH,UT_SH,CO_SH,AZ_SH,NM_SH,WECC_EV_Flat,WECC_EV_LDVUse,WECC_EV_LDVChar,WECC_WH
10,ElecLoadShapes,39814,11,,,0.368538722,0.220627457,0.170536062,0.45155639,0.166910913,0.195257814,0.752139923,0.735134963,0.75440547,0.536301223,0.571250781,1,0.469232402,1,0.333116938,0.280720187,1,-0.47032743,-0.422378211,0.565821371,0.565821371,0.355017091,0.565821371,0.561051392,0.543973028,0.565821371,0.653145011,0.412763211,0.265951776,0.333805806,0.439962698,0.321558385,0.361166184,0.303923286,0.435296622,0.213866864,0.365168913,0.344689417,1,-0.422378211,0.252891939,0.571250781
11,ElecLoadShapes,39814,12,,,0.374812004,0.17123275,0.141309143,0.444174159,0.137880862,0.16444882,0.744623625,0.725083468,0.747246702,0.500700048,0.536301223,1,0.466501543,1,0.381077766,0.30831971,1,-0.461573189,-0.47032743,0.540620821,0.540620821,0.316860819,0.540620821,0.55216142,0.531141142,0.540620821,0.603683519,0.308900099,0.242742667,0.320270417,0.388522728,0.303296835,0.34000468,0.280222244,0.394392905,0.18722636,0.268873472,0.286536718,1,-0.47032743,0.31339728,0.536301223
12,ElecLoadShapes,39814,13,,,0.380651418,0.141704127,0.127660143,0.435079368,0.124370344,0.149822483,0.692044317,0.669354611,0.695113212,0.404701034,0.500700048,1,0.47260678,1,0.491006046,0.347045033,1,-0.590098146,-0.461573189,0.511169133,0.511169133,0.293043924,0.511169133,0.546614754,0.531902775,0.511169133,0.555744506,0.240539887,0.231236587,0.310704928,0.324391168,0.28629883,0.325047234,0.269022723,0.373705028,0.173177619,0.192072215,0.248028712,1,-0.461573189,0.350843032,0.500700048
13,ElecLoadShapes,39814,14,,,0.386754714,0.127927479,0.127660143,0.427383775,0.124370344,0.149822483,0.564638232,0.537457912,0.568358868,0.379023807,0.404701034,1,0.478332888,1,0.632508668,0.391199155,1,-0.691723171,-0.590098146,0.481004554,0.481004554,0.270252822,0.481004554,0.541268976,0.537706474,0.481004554,0.50888966,0.178025592,0.220066687,0.301455277,0.263287426,0.270297712,0.312292791,0.258249613,0.356121154,0.160072949,0.120088482,0.213799101,1,-0.590098146,0.387736151,0.404701034
14,ElecLoadShapes,39814,15,,,0.402043714,0.127927479,0.141309143,0.433865272,0.137880862,0.16444882,0.541262352,0.514695272,0.544895311,0.413794318,0.379023807,1,0.486468359,1,0.782977944,0.300543862,1,-0.821525173,-0.691723171,0.452245291,0.452245291,0.247896215,0.452245291,0.537676609,0.539478828,0.452245291,0.46522815,0.125065323,0.209530618,0.291566358,0.209090557,0.254890785,0.299067733,0.248221419,0.336305369,0.147260307,0.055318377,0.181734921,1,-0.691723171,0.365258452,0.379023807
15,ElecLoadShapes,39814,16,,,0.417549648,0.141704127,0.170536062,0.442460141,0.166910913,0.195257814,0.511502448,0.484346264,0.515225939,0.492848358,0.413794318,1,0.53759204,1,0.995495498,0.350010128,1,-1,-0.821525173,0.444077516,0.444077516,0.262694926,0.444077516,0.536576142,0.538561995,0.444077516,0.470883403,0.137567575,0.206465603,0.291226534,0.208970107,0.25325858,0.300135263,0.262722339,0.338474357,0.173432059,0.073536821,0.207713413,1,-0.821525173,0.236003732,0.413794318
16,ElecLoadShapes,39814,17,,,0.434349092,0.17123275,0.186139794,0.448658883,0.182460614,0.211458265,0.588539674,0.567007611,0.591462163,0.528663804,0.492848358,1,0.57432461,1,1,0.445045289,1,-0.714574945,-1,0.434615999,0.434615999,0.272711183,0.434615999,0.537199085,0.530416548,0.434615999,0.477382976,0.151941512,0.203962116,0.290027913,0.206922664,0.25089376,0.302735713,0.278082729,0.340585333,0.201404252,0.095176259,0.234955399,1,-1,0.288282438,0.492848358
17,ElecLoadShapes,39814,18,,,0.462843553,0.187009006,0.186139794,0.465443437,0.182460614,0.211458265,0.660870036,0.645021645,0.662987856,0.563319841,0.528663804,1,0.572944784,1,0.921887019,0.495787554,1,-0.461361638,-0.714574945,0.426644729,0.426644729,0.286507568,0.426644729,0.536793488,0.530158893,0.426644729,0.485977045,0.16761132,0.202234802,0.290256478,0.208974469,0.248695884,0.30550788,0.29451444,0.344040271,0.231463784,0.116048427,0.265109343,1,-0.714574945,0.327512159,0.528663804
18,ElecLoadShapes,39814,19,,,0.484910936,0.187009006,0.219376287,0.482210501,0.215687563,0.245481869,0.706226741,0.6955656,0.707610064,0.569803722,0.563319841,1,0.55693545,1,0.71752606,0.731195909,1,-0.249400987,-0.461361638,0.44679112,0.44679112,0.313662105,0.44679112,0.5276552,0.517868811,0.44679112,0.516862124,0.226798527,0.213606509,0.297987515,0.232646871,0.24643548,0.305881086,0.292353693,0.355599436,0.235538843,0.155933108,0.279761553,1,-0.461361638,0.345658915,0.563319841
19,ElecLoadShapes,39814,20,,,0.497949649,0.220627457,0.274371159,0.498760397,0.270935085,0.300603842,0.695916467,0.687901423,0.69693002,0.50636794,0.569803722,1,0.545042749,1,0.522156653,0.627422761,1,-0.22676101,-0.249400987,0.466875699,0.466875699,0.341425373,0.466875699,0.512488773,0.498727777,0.466875699,0.548496925,0.291705579,0.225566159,0.30522204,0.255074496,0.244668607,0.305774994,0.289864767,0.368945971,0.238824171,0.198938575,0.296004641,1,-0.249400987,0.504438961,0.569803722
