,Demand Area,Electrification Type,ID,Use,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,isoNE_Boston,SH,isoNE_Boston_capacity_SH0,,,,,,,,,-1187.40089535351,-1188.7978578918187,-1200.8026226868872,-1224.6834710865614,-1259.678677527001,-1305.4879728450878,-1361.298826711002,-1426.0952798655323,-1498.891460150689,-1578.806888152712,-1665.0226561670577,-1756.7122633032823,-1853.0187978980262,-1953.0979345816056,-2054.274126763933,-2156.3299665040404,-2259.2509871700613,-2363.2119038708634,-2468.4902207193413,-2575.3126769227574,-2683.669479229106,-2793.158990218158,-2902.93311680139,-3011.7841579019314,-3115.7804362286356,-3213.7325470290357,-3304.7928901871655,-3388.525334288601,-3464.880028539686,-3534.1185723500703,-3596.726429602396,-3653.3310416847835,-3704.6322437098856,-3751.346527628872,,,,
1,isoNE_ConnCentral,SH,isoNE_ConnCentral_capacity_SH1,,,,,,,,,-655.2809497326136,-656.0518797044757,-662.6768483288149,-675.8557713707249,-695.1682817470564,-720.448672439099,-751.2485391646131,-787.0072130283082,-827.1806290505037,-871.2828844592494,-918.8620555441317,-969.4620282070696,-1022.6099058123937,-1077.839737616514,-1133.6749922158688,-1189.9956905178074,-1246.7938489438216,-1304.1658860522266,-1362.2649457048497,-1421.2161565618244,-1481.0141141034967,-1541.4371700633003,-1602.017294438322,-1662.088003388319,-1719.4795552199282,-1773.535563131638,-1823.7882691731577,-1869.996989167331,-1912.134212375756,-1950.3443054653894,-1984.8951773078886,-2016.133088707265,-2044.4442517836796,-2070.224070926732,,,,
2,isoNE_ConnNorwalk,SH,isoNE_ConnNorwalk_capacity_SH2,,,,,,,,,-248.32237069247162,-248.6145189051257,-251.12508771569532,-256.1193141071022,-263.4378976286138,-273.01804268126864,-284.6898239613635,-298.2407728639297,-313.4647129304266,-330.1775085953294,-348.20790084799864,-367.3830427070168,-387.52372735474347,-408.45338015808204,-429.6124613063852,-450.9555040533164,-472.47948297727214,-494.2209364286947,-516.2378991281745,-538.5777892793672,-561.2385588094061,-584.1362128714459,-607.0933888854726,-629.8575190829514,-651.6063677475744,-672.0911934399497,-691.134736675922,-708.6457888441561,-724.613924596895,-739.0938524877781,-752.1870980779667,-764.0248788303903,-774.7535519820593,-784.5229582317573,,,,
3,isoNE_ConnSW,SH,isoNE_ConnSW_capacity_SH3,,,,,,,,,-444.66417456609395,-445.1873164943404,-449.6829243798895,-458.62595093741766,-471.7311411444499,-488.88604861485993,-509.78639268839805,-534.0517115621824,-561.3128106103069,-591.2399632397784,-623.5265005572925,-657.8629101330832,-693.9282911501183,-731.4064561732652,-769.2954523484794,-807.5138635988546,-846.0562723834892,-884.9881069414664,-924.4132884823638,-964.4167275050985,-1004.9947565808039,-1045.9969684016885,-1087.1057645773174,-1127.8688788136612,-1166.8139557805455,-1203.4955808883817,-1237.59634035771,-1268.952909387146,-1297.546619587522,-1323.4754360909294,-1346.9211579826658,-1368.1187528360495,-1387.330298609686,-1404.8241110032645,,,,
4,isoNE_MaineBHE,SH,isoNE_MaineBHE_capacity_SH4,,,,,,,,,-75.66864330971183,-75.75766653720135,-76.52268555381966,-78.0445232133325,-80.27463757829008,-83.19389361157913,-86.75051177694866,-90.87974876899665,-95.51877862139291,-100.61149165545856,-106.1057019285678,-111.94873961259535,-118.0859969139506,-124.46366811673263,-130.91125058667856,-137.41488972421533,-143.97366362469316,-150.59870623226308,-157.30770185204707,-164.11509973051776,-171.02027578014415,-177.9976351417596,-184.99313199675288,-191.92980404673938,-198.55710011922392,-204.79922387253492,-210.60216090336903,-215.93811817858696,-220.80391889249614,-225.21623380262764,-229.20599971686096,-232.81320114150842,-236.0824359657261,-239.05936355704478,,,,
5,isoNE_MaineCentral,SH,isoNE_MaineCentral_capacity_SH5,,,,,,,,,-250.89923137632417,-251.1944112338556,-253.73103241354536,-258.7770842832544,-266.1716133190002,-275.85117228697385,-287.64407255529085,-301.33564071563285,-316.71756080020583,-333.60378645430393,-351.8212814991251,-371.19540530659197,-391.54509141588596,-412.69193286511745,-434.07058345521307,-455.63510462784944,-477.3824395663863,-499.34950578258946,-521.5949402278889,-544.1666531683518,-567.0625752780996,-590.1978400891848,-613.393244516213,-636.3935998751399,-658.3681380452496,-679.0655363777582,-698.306695952964,-715.9994616806306,-732.1333000283505,-746.7634872647088,-759.9926024895636,-771.953224819731,-782.7932302527299,-792.6640143960074,,,,
6,isoNE_MaineSouth,SH,isoNE_MaineSouth_capacity_SH6,,,,,,,,,-182.17372469093223,-182.38804983575338,-184.22984793891644,-187.89370158663746,-193.26274512410671,-200.29091057877247,-208.85353771398945,-218.79475576773538,-229.96331000894756,-242.22411529919808,-255.4515329706212,-269.5187593916367,-284.2943252412627,-299.64869221609354,-315.1713719210072,-330.82900913912727,-346.61938436714945,-362.5693027913144,-378.72133971880004,-395.110281990413,-411.73462710333257,-428.53275493826754,-445.37454913988586,-462.0747214838419,-478.03006516844493,-493.05809903272404,-507.02878235430956,-519.8752028674862,-531.5897123510051,-542.2124459765837,-551.8178847085284,-560.5022920204026,-568.3730381943412,-575.5400490422298,,,,
7,isoNE_MassCentral,SH,isoNE_MassCentral_capacity_SH7,,,,,,,,,-339.2439802633536,-339.6430966305629,-343.0728937674364,-349.8957234409472,-359.89395838371104,-372.981810799504,-388.9271383476462,-407.4396784350836,-428.2377644433924,-451.0698407757792,-475.7019430565685,-501.89793751420746,-529.4130019285427,-558.0059100210955,-586.9122501444151,-616.0699082007916,-645.4747510303168,-675.1766952611299,-705.2550246466498,-735.7745192552215,-766.7323811255134,-798.0138612476553,-829.3766568946482,-860.4757242637728,-890.1877714166623,-918.1729818650946,-944.1891937258023,-968.1118029518065,-989.9265670225526,-1009.7082256702668,-1027.5954773753579,-1043.767584015361,-1058.4244905710102,-1071.7709009315236,,,,
8,isoNE_MassSE,SH,isoNE_MassSE_capacity_SH8,,,,,,,,,-565.3359108229834,-566.0010215636531,-571.7166351076494,-583.0865955263132,-599.7482360765791,-621.5585949824476,-648.1308167380171,-678.9811908665537,-713.6403317236868,-751.6890324237831,-792.7374011157926,-836.3919307411277,-882.2446353048339,-929.8935212984265,-978.0647286680895,-1026.6547468667038,-1075.6566881560718,-1125.153736510194,-1175.2780149896416,-1226.1374768701446,-1277.727459466113,-1329.8567383497466,-1382.1215261561028,-1433.9468218127006,-1483.4607062641048,-1530.0968895389135,-1573.4518189823752,-1613.3178471593428,-1649.671239504728,-1682.6365466577488,-1712.444903837639,-1739.395043469167,-1763.8201655039124,-1786.0614004154968,,,,
9,isoNE_MassWest,SH,isoNE_MassWest_capacity_SH9,,,,,,,,,-413.9702354907919,-414.45726637751136,-418.6425548749961,-426.9682690246303,-439.16884416979605,-455.13959578763934,-474.5972468709629,-497.18759784367563,-522.566938564574,-550.4283025561309,-580.4861894312224,-612.4524515477259,-646.0283389851519,-680.9194898531846,-716.19311333425,-751.7734132782253,-787.6553461020846,-823.8998237143887,-860.6035939308188,-897.845706113215,-935.6227459851896,-973.794688439735,-1012.0658580255783,-1050.0152071410625,-1086.272013075384,-1120.4216069771048,-1152.168485262741,-1181.3605969905757,-1207.980562398753,-1232.1195843570367,-1253.946912862295,-1273.6812963256282,-1291.5667221884491,-1307.8529850592288,,,,
