area,,ERCOT_AEN,ERCOT_BEPC,ERCOT_CPS,ERCOT_FlatLoad,ERCOT_Houston,ERCOT_LCRA,ERCOT_North,ERCOT_RAYBURN,ERCOT_South,ERCOT_West,ERCOT_WZ_Coast,ERCOT_WZ_East,ERCOT_WZ_FarWest,ERCOT_WZ_North,ERCOT_WZ_NorthCen,ERCOT_WZ_South,ERCOT_WZ_SouthCen,ERCOT_WZ_West,FRCC,isoNE_Boston,isoNE_ConnCentral,isoNE_ConnNorwalk,isoNE_ConnSW,isoNE_MaineBHE,isoNE_MaineCentral,isoNE_MaineSouth,isoNE_MassCentral,isoNE_MassSE,isoNE_MassWest,isoNE_NewHampshire,isoNE_RhodeIsland,isoNE_Vermont,MISO_ALTE,MISO_ALTW,MISO_AMIL,MISO_AMMO,MISO_BREC,MISO_CONS,MISO_CWLD,MISO_CWLP,MISO_DECO,MISO_DEI,MISO_DPC,MISO_GRE,MISO_HE,MISO_IPL,MISO_MDU,MISO_MEC,MISO_MGE,MISO_MP,MISO_MPW,MISO_NIPS,MISO_NSP,MISO_OTP,MISO_SIGE,MISO_SIPC,MISO_SMP,MISO_UPPC,MISO_WEC,MISO_WPS,MRO_Manitoba,MRO_Saskatchewan,NPCC_NewBrunswick,NPCC_NorthernMaineISA,NPCC_NovaScotia,NPCC_Ontario_Bruce,NPCC_Ontario_East,NPCC_Ontario_Essa,NPCC_Ontario_Niagara,NPCC_Ontario_Northeast,NPCC_Ontario_Northwest,NPCC_Ontario_Ottawa,NPCC_Ontario_Southwest,NPCC_Ontario_Toronto,NPCC_Ontario_West,NPCC_PrinceEdwardIsland,NPCC_Quebec,NY_A_West,NY_B_Genesee,NY_C_Central,NY_D_North,NY_E_MohawkValley,NY_F_Capital,NY_G_HudsonValley,NY_H_Millwood,NY_I_Dunwoodie,NY_J_NYC,NY_K_LongIsland,PJM_AEP,PJM_AlleghenyPower,PJM_AtlanticElec,PJM_BaltimoreGE,PJM_ComEd,PJM_DaytonPL,PJM_DelmarvaPL,PJM_Dominion_VP,PJM_DukeOhioKentucky,PJM_DuqLight,PJM_EKPC,PJM_FirstEnergy_ATSI,PJM_JerseyCntrlPL,PJM_MetEd,PJM_PennElec,PJM_PennPL_UGI,PJM_PhiladelphiaElec,PJM_PotomacElec,PJM_PublicServiceEG,PJM_RocklandElec,SERC_Central_TVA,SERC_Entergy_Delta,SERC_Southern_SE,SERC_TVA_LGEEnergy,SERC_VACARSouth,SPP_AEPW,SPP_EMDE,SPP_GMO,SPP_GRDA,SPP_INDN,SPP_KACY,SPP_KCPL,SPP_LES,SPP_MIDW,SPP_NPPD,SPP_OKGE,SPP_OMPA,SPP_OPPD,SPP_SPRM,SPP_SPS,SPP_SUNC,SPP_WERE,SPP_WFEC,WECC_Alberta,WECC_AZPublicService,WECC_BritishColumbia,WECC_CA_BANC,WECC_CA_IID,WECC_CA_LDWP,WECC_CA_PGandE_BayArea,WECC_CA_PGandE_North,WECC_CA_PGandE_ZP26,WECC_CA_SCE,WECC_CA_SDGE,WECC_CA_TIDC,WECC_ElPasoElectric,WECC_N_BajaCA,WECC_NevadaNorth,WECC_NevadaSouth,WECC_NorthwesternMT,WECC_PNW_Avista,WECC_PNW_Bonneville_IDMT,WECC_PNW_Bonneville_OR,WECC_PNW_Bonneville_WA,WECC_PNW_ChelanCountyPUD,WECC_PNW_DouglasCountyPUD,WECC_PNW_GrantCountyPUD,WECC_PNW_IdahoPowerFE,WECC_PNW_IdahoPowerMV,WECC_PNW_IdahoPowerTV,WECC_PNW_Olympia,WECC_PNW_PacificorpEastID,WECC_PNW_PacificorpEastUT,WECC_PNW_PacificorpEastWY,WECC_PNW_PACWSouth,WECC_PNW_PortlandGeneral,WECC_PNW_PugetSoundCentral,WECC_PNW_PugetSoundNorth,WECC_PNW_SeattleCL,WECC_PNW_TacomaPower,WECC_PublicServiceCO,WECC_PublicServiceNM,WECC_SaltRiverProject,WECC_TucsonElectric,WECC_VEA,WECC_WAPA_CO,WECC_WAPA_LwrCO,WECC_WAPA_UprMO,WECC_WAPA_WY,CAISO_PGAE,CAISO_SCE,CAISO_SDGE,PG&E_NP-15 Exports,PG&E_ZP-26 Exports,SCE Exports,SDGE Exports,Primary Key,SERC_AECI,SPP_IS,SWPA,MISO_LRZ_1,MISO_LRZ_2,MISO_LRZ_3,MISO_LRZ_4,MISO_LRZ_5,MISO_LRZ_6,MISO_LRZ_7,MISO_LRZ_8,MISO_LRZ_9,MISO_LRZ_10,MISO_EES_EAI,MISO_CLEC,MISO_EES,MISO_LAFA,MISO_EES_EMI,MISO_SME,MISO_LEPA,MISO_LAGN
group,,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,OTHER,Mountain,OTHER,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Mountain,OTHER,Mountain,Mountain,Mountain,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Mountain,Mountain,Mountain,Pacific,Mountain,Mountain,Mountain,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST
Demand Year,Demand Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,13,0.0034516626407546155,0.0,0.006650340388004541,0.0,0.03247103736146248,0.005147630516620996,0.037006591825703844,0.0011461155428277206,0.012843048579314629,0.008913026429641414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06839525678455294,0.2120609736814474,0.11702830676561937,0.044348529567390306,0.07941371628464998,0.013513857232383467,0.04480873773111796,0.03253487308987891,0.06058645319515157,0.10096479139887944,0.0739320069210321,0.08120946835549628,0.08504666852677333,0.054551617250179936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.952073213257123e-05,6.589200772554499e-05,4.070780212677064e-05,1.7777315465794214e-06,2.6260920449194375e-05,1.6578495202362069e-06,2.465213550861881e-05,2.1116634176160593e-05,1.0752436867662862e-05,2.815804405935576e-05,1.115787674277286e-05,1.9913463585301532e-05,7.262925699743069e-05,0.00013343994232251758,3.526474896684712e-05,2.632842922201949e-06,0.0004827738749005413,0.004485531306787684,0.0029019862992051906,0.004686939358894183,0.001273913302830436,0.002265029647659849,0.0035041462454973417,0.0028465474806662087,0.0008634301274479375,0.001744553495115372,0.0154055043422127,0.006060229694390553,0.039487764290438356,0.014973817563058494,0.0029566136593622617,0.009744503380574225,0.030651393285505577,0.005416212920570111,0.005578231319240782,0.02918463805071836,0.00832128873325738,0.004344284965400994,0.003244514727878922,0.02061780406392403,0.0065852926754062305,0.00472933783618713,0.00534749579080263,0.012500000964298407,0.012443427811766468,0.009350268480695277,0.013023969062184691,0.0004466613302160162,0.04740750263924303,0.05219964283577929,0.07120700287551748,0.010480970248600303,0.06471341290617773,0.013788310290625884,0.0015208830497832563,0.002660901986092888,0.0013819191163903536,0.00040917158185929426,0.000797755914433074,0.00479425570647934,0.0009907613776233538,0.0005661493586047383,0.004971820730428321,0.008692966061882005,0.0004889471733286264,0.0037468793907834115,0.0010164954392953088,0.00814740395256278,0.0016701406079490395,0.008047041111807932,0.0019300546319027977,0.00022499977186440128,0.10682584356539758,0.00017107037109987276,0.0415076434303633,0.009592969281868256,0.06743960555360716,0.10426422957110144,0.11030883172075176,0.015390010933921977,0.23109772450642627,0.04685082417015658,0.006415942896045221,0.02962917143475706,3.6270074610567165e-05,0.04558809884637986,0.07462963535706554,0.039680821451767545,0.029975450250655004,0.008293276669486106,0.042435995296350545,0.07193695459327873,0.004662389371402636,0.004456088956738803,0.011759123635838508,0.007762966628521943,0.0194538088021526,0.03556737698326787,0.01860829740267778,0.015866142949927317,0.10549593294776234,0.0409179476077073,0.026468343201369836,0.04936768922905535,0.03901140841293091,0.025106760464588533,0.023415097064345098,0.011635343387040208,0.15195002010330003,0.04796956669656388,0.10289796802028887,0.04985618408437201,0.002164970772894566,0.06525840472582192,0.03272198682460644,0.0034639532366313053,0.02229919896081403,0.00029672495037721107,0.00029627265535313654,6.000024136805125e-05,2.4574541914645315e-05,0.0,2.506185577697539e-06,5.89417719199236e-06,0.9978333787300921,0.005670438425899143,0.008587456407179233,0.00134754088541118,0.03135045394762902,0.021012549477600107,0.01450404759191811,0.015559652050271568,0.013219411156863385,0.032024842686654814,0.032773659270290925,0.01162889449802016,0.03256489828144512,0.007115724052590052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,14,0.0038827295613559206,0.0,0.007480879768695834,0.0,0.030612931574797313,0.0057826688430943725,0.040629472409628276,0.0012764109211327909,0.012623750405150489,0.007427511047655064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07136123702739135,0.21749776516770958,0.12437327529247152,0.04733957790819698,0.08445722725329395,0.010960394885149053,0.03497998367600762,0.026701387539352483,0.061992304403591277,0.10528975086478293,0.07279723269462474,0.07726689727544794,0.09296902328112247,0.04337517975824945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010688471541085746,7.816215406240614e-05,7.322965293641506e-05,3.1828334609639676e-06,4.7228351890705e-05,3.311050549575361e-06,3.349312407053795e-05,3.982682693990048e-05,1.671510325132374e-05,3.410132733495259e-05,1.4659795698334087e-05,3.1458789043268165e-05,9.215327939886331e-05,0.0001853971301444292,6.379842419921306e-05,4.725283522958339e-06,0.0008762816456422681,0.004407731204895593,0.0030860099073624506,0.0043643715695692795,0.0012768665023679907,0.002054349618563957,0.0035824029738567983,0.003416440231745736,0.0010271748092819785,0.00220984624180315,0.01725264938035626,0.00803797929359522,0.034354892850944355,0.013253275459415275,0.0036943974651741165,0.010284241398988762,0.03322104322240514,0.0051946832650558005,0.005912537731866056,0.029429029564045524,0.008294372845592132,0.004313133951211408,0.0038851244887826994,0.01945115283290047,0.008923621844741709,0.004466316285133261,0.004347675065723198,0.011096708483809573,0.012978448330908422,0.00975110680543721,0.014872202478707023,0.0006037186101625996,0.046333371503258364,0.04886154613183247,0.06973147062647529,0.010234224996036831,0.06670476159620263,0.014711175851804946,0.0016232519611796667,0.0028388711447210674,0.00147475716363296,0.00043674940676429456,0.0008516613432656896,0.005115791385118082,0.0010583893957505786,0.0006041700127157125,0.00530504946163366,0.009275101568895152,0.0005226434567361673,0.0039962570715167175,0.0010845943601564363,0.008692769025538555,0.001781937579899583,0.008585037506659458,0.0020600013679439614,0.0002729998034418046,0.12366316759353714,0.00026092672835537897,0.04800374165568264,0.012383604745099707,0.07792635741315532,0.08283728049661976,0.12641906543645562,0.017634678345167736,0.24762957608741867,0.04716399506781751,0.006919937072154428,0.0323801375497713,6.226555231713173e-05,0.035473362071802295,0.09784790549211886,0.029846325973213992,0.02475657978655555,0.007430162847059824,0.03835197074705557,0.06479867341298524,0.005389259747438241,0.0053042221182873425,0.008588800544240827,0.007798874592780282,0.019497186481950705,0.03738194741518312,0.017666567456099323,0.017703774392049756,0.10609101977689296,0.028513606897232553,0.026265997703984013,0.04277392746290233,0.03707640630979208,0.023831795569539523,0.019718100259364768,0.011129299715123943,0.1398696896903485,0.041593997828161505,0.12098127611964855,0.054855375300273124,0.0025831715423343974,0.05057751159959196,0.03142584487808089,0.002747704761591365,0.01916812004343677,0.0005066181364501492,0.0005769748850272304,0.00010992003282437788,4.794470701307984e-05,0.0,7.600707540014592e-06,1.566487285685934e-05,0.996434475086617,0.006487089188369768,0.006992358003275454,0.0015493494609553269,0.028670881398173285,0.019986779761198486,0.013686549161824615,0.015120860243006637,0.013433435441616022,0.028402427452497502,0.034741008615539345,0.011738340527491812,0.02966032594080687,0.007525914614202147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
