area,,ERCOT_AEN,ERCOT_BEPC,ERCOT_CPS,ERCOT_FlatLoad,ERCOT_Houston,ERCOT_LCRA,ERCOT_North,ERCOT_RAYBURN,ERCOT_South,ERCOT_West,ERCOT_WZ_Coast,ERCOT_WZ_East,ERCOT_WZ_FarWest,ERCOT_WZ_North,ERCOT_WZ_NorthCen,ERCOT_WZ_South,ERCOT_WZ_SouthCen,ERCOT_WZ_West,FRCC,isoNE_Boston,isoNE_ConnCentral,isoNE_ConnNorwalk,isoNE_ConnSW,isoNE_MaineBHE,isoNE_MaineCentral,isoNE_MaineSouth,isoNE_MassCentral,isoNE_MassSE,isoNE_MassWest,isoNE_NewHampshire,isoNE_RhodeIsland,isoNE_Vermont,MISO_ALTE,MISO_ALTW,MISO_AMIL,MISO_AMMO,MISO_BREC,MISO_CONS,MISO_CWLD,MISO_CWLP,MISO_DECO,MISO_DEI,MISO_DPC,MISO_GRE,MISO_HE,MISO_IPL,MISO_MDU,MISO_MEC,MISO_MGE,MISO_MP,MISO_MPW,MISO_NIPS,MISO_NSP,MISO_OTP,MISO_SIGE,MISO_SIPC,MISO_SMP,MISO_UPPC,MISO_WEC,MISO_WPS,MRO_Manitoba,MRO_Saskatchewan,NPCC_NewBrunswick,NPCC_NorthernMaineISA,NPCC_NovaScotia,NPCC_Ontario_Bruce,NPCC_Ontario_East,NPCC_Ontario_Essa,NPCC_Ontario_Niagara,NPCC_Ontario_Northeast,NPCC_Ontario_Northwest,NPCC_Ontario_Ottawa,NPCC_Ontario_Southwest,NPCC_Ontario_Toronto,NPCC_Ontario_West,NPCC_PrinceEdwardIsland,NPCC_Quebec,NY_A_West,NY_B_Genesee,NY_C_Central,NY_D_North,NY_E_MohawkValley,NY_F_Capital,NY_G_HudsonValley,NY_H_Millwood,NY_I_Dunwoodie,NY_J_NYC,NY_K_LongIsland,PJM_AEP,PJM_AlleghenyPower,PJM_AtlanticElec,PJM_BaltimoreGE,PJM_ComEd,PJM_DaytonPL,PJM_DelmarvaPL,PJM_Dominion_VP,PJM_DukeOhioKentucky,PJM_DuqLight,PJM_EKPC,PJM_FirstEnergy_ATSI,PJM_JerseyCntrlPL,PJM_MetEd,PJM_PennElec,PJM_PennPL_UGI,PJM_PhiladelphiaElec,PJM_PotomacElec,PJM_PublicServiceEG,PJM_RocklandElec,SERC_Central_TVA,SERC_Entergy_Delta,SERC_Southern_SE,SERC_TVA_LGEEnergy,SERC_VACARSouth,SPP_AEPW,SPP_EMDE,SPP_GMO,SPP_GRDA,SPP_INDN,SPP_KACY,SPP_KCPL,SPP_LES,SPP_MIDW,SPP_NPPD,SPP_OKGE,SPP_OMPA,SPP_OPPD,SPP_SPRM,SPP_SPS,SPP_SUNC,SPP_WERE,SPP_WFEC,WECC_Alberta,WECC_AZPublicService,WECC_BritishColumbia,WECC_CA_BANC,WECC_CA_IID,WECC_CA_LDWP,WECC_CA_PGandE_BayArea,WECC_CA_PGandE_North,WECC_CA_PGandE_ZP26,WECC_CA_SCE,WECC_CA_SDGE,WECC_CA_TIDC,WECC_ElPasoElectric,WECC_N_BajaCA,WECC_NevadaNorth,WECC_NevadaSouth,WECC_NorthwesternMT,WECC_PNW_Avista,WECC_PNW_Bonneville_IDMT,WECC_PNW_Bonneville_OR,WECC_PNW_Bonneville_WA,WECC_PNW_ChelanCountyPUD,WECC_PNW_DouglasCountyPUD,WECC_PNW_GrantCountyPUD,WECC_PNW_IdahoPowerFE,WECC_PNW_IdahoPowerMV,WECC_PNW_IdahoPowerTV,WECC_PNW_Olympia,WECC_PNW_PacificorpEastID,WECC_PNW_PacificorpEastUT,WECC_PNW_PacificorpEastWY,WECC_PNW_PACWSouth,WECC_PNW_PortlandGeneral,WECC_PNW_PugetSoundCentral,WECC_PNW_PugetSoundNorth,WECC_PNW_SeattleCL,WECC_PNW_TacomaPower,WECC_PublicServiceCO,WECC_PublicServiceNM,WECC_SaltRiverProject,WECC_TucsonElectric,WECC_VEA,WECC_WAPA_CO,WECC_WAPA_LwrCO,WECC_WAPA_UprMO,WECC_WAPA_WY,CAISO_PGAE,CAISO_SCE,CAISO_SDGE,PG&E_NP-15 Exports,PG&E_ZP-26 Exports,SCE Exports,SDGE Exports,Primary Key,SERC_AECI,SPP_IS,SWPA,MISO_LRZ_1,MISO_LRZ_2,MISO_LRZ_3,MISO_LRZ_4,MISO_LRZ_5,MISO_LRZ_6,MISO_LRZ_7,MISO_LRZ_8,MISO_LRZ_9,MISO_LRZ_10,MISO_EES_EAI,MISO_CLEC,MISO_EES,MISO_LAFA,MISO_EES_EMI,MISO_SME,MISO_LEPA,MISO_LAGN
group,,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,New England,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,OTHER,Mountain,OTHER,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Mountain,OTHER,Mountain,Mountain,Mountain,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Mountain,Mountain,Mountain,Pacific,Mountain,Mountain,Mountain,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST,EAST
Demand Year,Demand Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,14,,,,1.0,,,,,,,2.024062016195281,1.820937700606742,1.6577652020378946,1.8477077921290603,1.9697480736685808,1.9657564216362242,1.943485967846513,1.8952937990171332,1.8026399615550879,1.8604475036179777,1.9277891081273277,1.9362816460824865,1.9291441116975756,1.4711950234518243,1.416055466341299,1.4887030748796661,1.8560327007314872,1.8916444826544683,1.7860999043566863,1.7258783388788737,1.9829160804000914,1.4423047361571015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5396094239018212,1.1878813707579934,1.801435071475946,1.7929039684145294,1.8009520041512106,2.000000000559892,1.360537148911788,1.8886883576286688,1.5567234047310587,1.2127690129437554,1.3156962925777818,1.5819927521895745,1.2705989322703244,1.3913181614819288,1.8116673096749643,1.7972654056434707,1.8176457584765464,1.697750312498903,1.8372766994697416,1.608810872284159,1.7317222220913748,1.567014711691861,1.7663014385453606,2.0736144195131194,2.0553688523656657,2.1885192697992375,1.934873090706296,2.291555642474614,1.503137334282743,1.5291965026196805,2.158845922174878,1.8234134778490088,1.872559623237282,1.657051295760833,1.8312600224846347,1.7421848739282981,1.7221285682128142,1.7153282882890595,2.068844258040267,1.6299547472478713,2.3412009171240573,1.6316302376269518,1.4046859424450546,1.5337576418018846,1.8020023327000105,1.8017828181099957,1.972897591713268,2.3352254637188032,1.688571420476655,1.617231839079786,1.6919157254550294,1.6870427250082987,1.7808819853008926,1.843354857793161,1.8440076803436076,1.8432719398611241,1.843785940059298,1.8441637019541706,1.8444611476069754,1.8435895655898398,1.845648612722735,1.8437445737301397,1.8435146177333346,1.8434157726116231,1.846784355404994,1.8427071166016142,1.8434633865126298,1.8433656899930198,1.8433680689773635,1.8432259913810902,1.8440407566763939,1.2150371287128714,2.176027793862189,1.5274009766684753,2.2445328031809146,2.5053763440860215,2.242581829305598,1.5419469726948951,2.224237890405835,2.2238605898123325,2.07962863774326,1.953764861294584,2.0932475884244375,2.0542797494780793,1.7191298784388995,1.462686567164179,2.4645669291338583,1.4138737334372564,1.602890571231934,1.7388059701492538,1.7540106951871657,1.7482076283338113,2.243362831858407,2.310185185185185,1.4175438596491228,1.8884462151394423,1.8839427662957076,1.9756521739130435,1.8425720620842572,2.0974658869395713,1.8903547346819114,1.309901738473167,1.925954793452845,1.6815712494776431,1.8445267054468535,1.8422350041084634,1.6343612334801763,1.8563829787234043,1.7303073478526358,1.6299161831076725,2.2100991884580705,2.068238213399504,2.242857142857143,1.456872037914692,1.8052930056710774,1.4910714285714286,1.6158113730929264,1.7097631780729852,1.950179702518414,1.8345651722840972,1.9537299338999057,,3.037037037037037,2.661417322834646,1.0000000232558086,1.976541052695043,1.4067979258166035,1.9864610023875087,1.5800463228880373,1.6433750413589165,1.630336886585438,1.6789943221065606,1.7556890120629978,1.5322903382425785,1.8314290458560785,1.7439775209029065,1.5736161435116125,1.827312385642188,,,,,,,,
